Endereco,PrecoApto,PrecoCond,PrecoIPTU,NumQuartos,NumBanheiros,NumVagas,Area,URL
 ,Avenida Princesa Januária| 46 - Nova Petrópolis| São Bernardo do Campo - SP,R$ 260.000,R$ 480,R$ 970,3,2,1,60,https://www.vivareal.com.br/imovel/apartamento-3-quartos-nova-petropolis-bairros-sao-bernardo-do-campo-com-garagem-60m2-venda-RS260000-id-85055196/
Condomínio BARCELONA ,Rua Senador Manoel Cordeiro Vilaça| 100 - Alves Dias| São Bernardo do Campo - SP,R$ 220.000,R$ 220,R$ 50,2,1,1,57,https://www.vivareal.com.br/imovel/apartamento-2-quartos-alves-dias-bairros-sao-bernardo-do-campo-com-garagem-57m2-venda-RS220000-id-88538175/
Condomínio Terraces São Bernardo Condominio ,Rua Frei Gaspar| 941 - Centro| São Bernardo do Campo - SP,R$ 335.000,R$ 350,R$ 1,2,1,1,69,https://www.vivareal.com.br/imovel/apartamento-2-quartos-centro-bairros-sao-bernardo-do-campo-com-garagem-69m2-venda-RS335000-id-86329584/
Condomínio Start Jardim Clube São Bernardo ,Rua Doutor Felício Laurito| 157 - Jardim Olavo Bilac| São Bernardo do Campo - SP,R$ 270.000,R$ 300,R$ 150,2,1,1,52,https://www.vivareal.com.br/imovel/apartamento-2-quartos-jardim-olavo-bilac-bairros-sao-bernardo-do-campo-com-garagem-52m2-venda-RS270000-id-88794378/
Condomínio FIT PLANALTO ,Rua Joāo Eboli| 100 - Planalto| São Bernardo do Campo - SP,R$ 223.000,R$ 290,R$ 700,2,1,1,48,https://www.vivareal.com.br/imovel/apartamento-2-quartos-planalto-bairros-sao-bernardo-do-campo-com-garagem-48m2-venda-RS223000-id-89881920/
Condomínio DOMO HOME ,Centro| São Bernardo do Campo - SP,R$ 780.000,R$ 650, ,3,2,2,123,https://www.vivareal.com.br/imovel/apartamento-3-quartos-centro-bairros-sao-bernardo-do-campo-com-garagem-123m2-venda-RS780000-id-83559308/
Condomínio HELBOR MOVEMENT CITY E LIFE ,Avenida Armando Ítalo Setti| 659 - Baeta Neves| São Bernardo do Campo - SP,R$ 820.000,R$ 800, ,3,4,2,116,https://www.vivareal.com.br/imovel/apartamento-3-quartos-baeta-neves-bairros-sao-bernardo-do-campo-com-garagem-116m2-venda-RS820000-id-86128649/
 ,Rua Lausanne - Taboão| São Bernardo do Campo - SP,R$ 251.000,R$ 330,R$ 802,2,1,1,50,https://www.vivareal.com.br/imovel/apartamento-2-quartos-taboao-bairros-sao-bernardo-do-campo-com-garagem-50m2-venda-RS251000-id-86610777/
Condomínio CITTA DI ROMA ,Centro| São Bernardo do Campo - SP,R$ 550.000,R$ 900,R$ 150,3,2,3,96,https://www.vivareal.com.br/imovel/apartamento-3-quartos-centro-bairros-sao-bernardo-do-campo-com-garagem-96m2-venda-RS550000-id-86957713/
 ,Rua Continental| 1060 - Jardim do Mar| São Bernardo do Campo - SP,R$ 1.350.000,R$ 1.350,R$ 300,4,6,6,210,https://www.vivareal.com.br/imovel/apartamento-4-quartos-jardim-do-mar-bairros-sao-bernardo-do-campo-com-garagem-210m2-venda-RS1350000-id-89544004/
Condomínio Parque Residencial Tiradentes ,Rua Tiradentes| 1837 - Santa Terezinha| São Bernardo do Campo - SP,R$ 42.000,R$ 370,R$ 800,2,1,1,53,https://www.vivareal.com.br/imovel/apartamento-2-quartos-santa-terezinha-bairros-sao-bernardo-do-campo-com-garagem-53m2-venda-RS42000-id-89882428/
 ,Taboão| São Bernardo do Campo - SP,R$ 168.000,R$ 180,R$ 200,2,1,1,40,https://www.vivareal.com.br/imovel/apartamento-2-quartos-taboao-bairros-sao-bernardo-do-campo-com-garagem-40m2-venda-RS168000-id-86693724/
Condomínio VILLA BORGHESE ,Demarchi| São Bernardo do Campo - SP,R$ 230.000,R$ 300,R$ 58,2,1,1,48,https://www.vivareal.com.br/imovel/apartamento-2-quartos-demarchi-bairros-sao-bernardo-do-campo-com-garagem-48m2-venda-RS230000-id-85879391/
Condomínio MANSAO IMPERIAL ,Avenida Wallace Simonsen| 555 - Nova Petrópolis| São Bernardo do Campo - SP,R$ 680.000,R$ 580,R$ 110,3,4,2,128,https://www.vivareal.com.br/imovel/apartamento-3-quartos-nova-petropolis-bairros-sao-bernardo-do-campo-com-garagem-128m2-venda-RS680000-id-89744985/
 ,Rua Continental| 348 - Jardim do Mar| São Bernardo do Campo - SP,R$ 859.000,R$ 503,R$ 204,3,4,3,150,https://www.vivareal.com.br/imovel/apartamento-3-quartos-jardim-do-mar-bairros-sao-bernardo-do-campo-com-garagem-150m2-venda-RS859000-id-86709959/
Condomínio Ideale ,Avenida Armando Ítalo Setti| 661 - Baeta Neves| São Bernardo do Campo - SP,R$ 507.000,R$ 440, ,3,3,2,96,https://www.vivareal.com.br/imovel/apartamento-3-quartos-baeta-neves-bairros-sao-bernardo-do-campo-com-garagem-96m2-venda-RS507000-id-85234245/
Condomínio ARCADIA ,Centro| São Bernardo do Campo - SP,R$ 445.000,R$ 570,R$ 155,2,2,2,80,https://www.vivareal.com.br/imovel/apartamento-2-quartos-centro-bairros-sao-bernardo-do-campo-com-garagem-80m2-venda-RS445000-id-86388484/
Condomínio PRIME HOUSE CLUB LIFE ,Avenida Moinho Fabrini| 385 - Independência| São Bernardo do Campo - SP,R$ 410.000,R$ 400, ,3,1,1,64,https://www.vivareal.com.br/imovel/apartamento-3-quartos-independencia-bairros-sao-bernardo-do-campo-com-garagem-64m2-venda-RS410000-id-84777674/
Condomínio HELBOR MOVEMENT CITY E LIFE ,Baeta Neves| São Bernardo do Campo - SP,R$ 467.325,R$ 450,R$ 980,3,2,2,93,https://www.vivareal.com.br/imovel/apartamento-3-quartos-baeta-neves-bairros-sao-bernardo-do-campo-com-garagem-93m2-venda-RS467325-id-86238764/
 ,Independência| São Bernardo do Campo - SP,R$ 425.000,R$ 420,R$ 110,2,1,1,70,https://www.vivareal.com.br/imovel/apartamento-2-quartos-independencia-bairros-sao-bernardo-do-campo-com-garagem-70m2-venda-RS425000-id-88032447/
 ,Avenida Aldino Pinotti| 600 - Centro| São Bernardo do Campo - SP,R$ 798.000,R$ 566,R$ 219,3,3,2,123,https://www.vivareal.com.br/imovel/apartamento-3-quartos-centro-bairros-sao-bernardo-do-campo-com-garagem-123m2-venda-RS798000-id-86414677/
Condomínio Parque Residencial Tiradentes ,Rua Tiradentes| 1837 - Santa Terezinha| São Bernardo do Campo - SP,R$ 180.000,R$ 370, ,2,1,1,56,https://www.vivareal.com.br/imovel/apartamento-2-quartos-santa-terezinha-bairros-sao-bernardo-do-campo-com-garagem-56m2-venda-RS180000-id-83740576/
Condomínio MY PLACE ,Rua Santos Dumont| 95 - Centro| São Bernardo do Campo - SP,R$ 350.000,R$ 470,R$ 780,2,2,2,74,https://www.vivareal.com.br/imovel/apartamento-2-quartos-centro-bairros-sao-bernardo-do-campo-com-garagem-74m2-venda-RS350000-id-78338584/
Condomínio DOMO LIFE ,Avenida Aldino Pinotti| 500 - Centro| São Bernardo do Campo - SP,R$ 790.000,R$ 563,R$ 273,3,4,2,123,https://www.vivareal.com.br/imovel/apartamento-3-quartos-centro-bairros-sao-bernardo-do-campo-com-garagem-123m2-venda-RS790000-id-84511301/
Condomínio Parque Residencial Tiradentes ,Ferrazópolis| São Bernardo do Campo - SP,R$ 195.000,R$ 320, ,2,1,1,50,https://www.vivareal.com.br/imovel/apartamento-2-quartos-ferrazopolis-bairros-sao-bernardo-do-campo-com-garagem-50m2-venda-RS195000-id-86894395/
 ,Avenida Pedro Mendes| 1741 - Montanhão| São Bernardo do Campo - SP,R$ 229.000,R$ 250,R$ 50,2,1,1,45,https://www.vivareal.com.br/imovel/apartamento-2-quartos-montanhao-bairros-sao-bernardo-do-campo-com-garagem-45m2-venda-RS229000-id-87938439/
 ,Taboão| São Bernardo do Campo - SP,R$ 228.000,R$ 311,R$ 350,2,1,1,44,https://www.vivareal.com.br/imovel/apartamento-2-quartos-taboao-bairros-sao-bernardo-do-campo-com-garagem-44m2-venda-RS228000-id-84220727/
Condomínio Parque Residencial Tiradentes ,Rua Tiradentes| 1837 - Santa Terezinha| São Bernardo do Campo - SP,R$ 211.900,R$ 350,R$ 350,2,1,1,53,https://www.vivareal.com.br/imovel/apartamento-2-quartos-santa-terezinha-bairros-sao-bernardo-do-campo-com-garagem-53m2-venda-RS211900-id-87938062/
Condomínio HELBOR MOVEMENT CITY E LIFE ,Baeta Neves| São Bernardo do Campo - SP,R$ 585.069,R$ 580,R$ 1.100,3,2,2,116,https://www.vivareal.com.br/imovel/apartamento-3-quartos-baeta-neves-bairros-sao-bernardo-do-campo-com-garagem-116m2-venda-RS585069-id-86240474/
 ,Rua Helena Aparecida Secol - Nova Petrópolis| São Bernardo do Campo - SP,R$ 290.000,R$ 410,R$ 65,3,1,1,67,https://www.vivareal.com.br/imovel/apartamento-3-quartos-nova-petropolis-bairros-sao-bernardo-do-campo-com-garagem-67m2-venda-RS290000-id-88069913/
 ,Rua Comendador Pinoti Gamba| 449 - Rudge Ramos| São Bernardo do Campo - SP,R$ 420.000,R$ 424,R$ 76,3,2,2,70,https://www.vivareal.com.br/imovel/apartamento-3-quartos-rudge-ramos-bairros-sao-bernardo-do-campo-com-garagem-70m2-venda-RS420000-id-90057217/
 ,Rua dos Vianas - Baeta Neves| São Bernardo do Campo - SP,R$ 210.000,R$ 240,R$ 564,2,1,1,62,https://www.vivareal.com.br/imovel/apartamento-2-quartos-baeta-neves-bairros-sao-bernardo-do-campo-com-garagem-62m2-venda-RS210000-id-85618686/
Condomínio ANIMA ,Rua Braga| 202 - Vila Lusitania| São Bernardo do Campo - SP,R$ 580.000,R$ 597,R$ 235,3,2,2,107,https://www.vivareal.com.br/imovel/apartamento-3-quartos-vila-lusitania-bairros-sao-bernardo-do-campo-com-garagem-107m2-venda-RS580000-id-89830244/
Condomínio ESTADO UNIDOS ,Rua Gregória de Fregel| 380 - Demarchi| São Bernardo do Campo - SP,R$ 190.000,R$ 250,R$ 50,2,1,1,45,https://www.vivareal.com.br/imovel/apartamento-2-quartos-demarchi-bairros-sao-bernardo-do-campo-com-garagem-45m2-venda-RS190000-id-85887778/
Condomínio Helbor Family Garden ,Avenida das Nações Unidas| 1515 - Chácara Inglesa| São Bernardo do Campo - SP,R$ 795.748,R$ 896, ,3,3,2,127,https://www.vivareal.com.br/imovel/apartamento-3-quartos-chacara-inglesa-bairros-sao-bernardo-do-campo-com-garagem-127m2-venda-RS795748-id-86084839/
 ,Ferrazópolis| São Bernardo do Campo - SP,R$ 245.000,R$ 270,R$ 70,2,1,1,60,https://www.vivareal.com.br/imovel/apartamento-2-quartos-ferrazopolis-bairros-sao-bernardo-do-campo-com-garagem-60m2-venda-RS245000-id-84108453/
Condomínio SMILE ,Avenida Piraporinha| 540 - Planalto| São Bernardo do Campo - SP,R$ 385.000,R$ 663,R$ 1.517,3,2,1,96,https://www.vivareal.com.br/imovel/apartamento-3-quartos-planalto-bairros-sao-bernardo-do-campo-com-garagem-96m2-venda-RS385000-id-89203396/
 ,Rua da Pátria| 28 - Santa Terezinha| São Bernardo do Campo - SP,R$ 275.000, , ,2,1,2,56,https://www.vivareal.com.br/imovel/apartamento-2-quartos-santa-terezinha-bairros-sao-bernardo-do-campo-com-garagem-56m2-venda-RS275000-id-85845349/
 ,Rua Gabriel D'Anunzio - Rudge Ramos| São Bernardo do Campo - SP,R$ 500.000, , ,3,2,3,92,https://www.vivareal.com.br/imovel/apartamento-3-quartos-rudge-ramos-bairros-sao-bernardo-do-campo-com-garagem-92m2-venda-RS500000-id-85319406/
Condomínio GRAND VILLE ,Vila Santa Rita de Cassia| São Bernardo do Campo - SP,R$ 270.000,R$ 327,R$ 68,2,1,1,50,https://www.vivareal.com.br/imovel/apartamento-2-quartos-vila-santa-rita-de-cassia-bairros-sao-bernardo-do-campo-com-garagem-50m2-venda-RS270000-id-85787380/
 ,Avenida Getúlio Vargas| 200 - Baeta Neves| São Bernardo do Campo - SP,R$ 650.000,R$ 850,R$ 184,3,4,2,134,https://www.vivareal.com.br/imovel/apartamento-3-quartos-baeta-neves-bairros-sao-bernardo-do-campo-com-garagem-134m2-venda-RS650000-id-87216280/
 ,Rua Padre Léo Comissari| s/n - Ferrazópolis| São Bernardo do Campo - SP,R$ 207.800, , ,2,1,1,48,https://www.vivareal.com.br/imovel/apartamento-2-quartos-ferrazopolis-bairros-sao-bernardo-do-campo-com-garagem-48m2-venda-RS207800-id-88459209/
 ,Avenida Doutor Carlos de Campos - Rudge Ramos| São Bernardo do Campo - SP,R$ 370.000,R$ 370,R$ 1.100,2,2,1,60,https://www.vivareal.com.br/imovel/apartamento-2-quartos-rudge-ramos-bairros-sao-bernardo-do-campo-com-garagem-60m2-venda-RS370000-id-84746875/
 ,Avenida Pereira Barreto| 1476 - Baeta Neves| São Bernardo do Campo - SP,R$ 397.000,R$ 420,R$ 180,2,2,1,77,https://www.vivareal.com.br/imovel/apartamento-2-quartos-baeta-neves-bairros-sao-bernardo-do-campo-com-garagem-77m2-venda-RS397000-id-86559247/
Condomínio Residencial Hill House ,Avenida Francisco Prestes Maia| 1501 - Centro| São Bernardo do Campo - SP,R$ 560.000, , ,4,4,2,123,https://www.vivareal.com.br/imovel/apartamento-4-quartos-centro-bairros-sao-bernardo-do-campo-com-garagem-123m2-venda-RS560000-id-89886869/
 ,Rudge Ramos| São Bernardo do Campo - SP,R$ 375.500,R$ 300,R$ 1.000,3,2,2,80,https://www.vivareal.com.br/imovel/apartamento-3-quartos-rudge-ramos-bairros-sao-bernardo-do-campo-com-garagem-80m2-venda-RS375500-id-81224317/
Condomínio HELBOR MOVEMENT CITY E LIFE ,Avenida Armando Ítalo Setti - Baeta Neves| São Bernardo do Campo - SP,R$ 602.630,R$ 650, ,3,2,2,116,https://www.vivareal.com.br/imovel/apartamento-3-quartos-baeta-neves-bairros-sao-bernardo-do-campo-com-garagem-116m2-venda-RS602630-id-83887849/
 ,Demarchi| São Bernardo do Campo - SP,R$ 220.000,R$ 275,R$ 55,2,1,1,57,https://www.vivareal.com.br/imovel/apartamento-2-quartos-demarchi-bairros-sao-bernardo-do-campo-com-garagem-57m2-venda-RS220000-id-86388483/
 ,Rua Carlos Gomes - Centro| São Bernardo do Campo - SP,R$ 529.000, , ,3,1,2,92,https://www.vivareal.com.br/imovel/apartamento-3-quartos-centro-bairros-sao-bernardo-do-campo-com-garagem-92m2-venda-RS529000-id-88249302/
 ,Avenida Dom Jaime de Barros Câmara| 357 - Planalto| São Bernardo do Campo - SP,R$ 258.900,R$ 300, ,2,1,1,56,https://www.vivareal.com.br/imovel/apartamento-2-quartos-planalto-bairros-sao-bernardo-do-campo-com-garagem-56m2-venda-RS258900-id-87112998/
Condomínio AMERICA ,Rua das Orquideas - Vila Marchi| São Bernardo do Campo - SP,R$ 250.000,R$ 280, ,2,1,1,65,https://www.vivareal.com.br/imovel/apartamento-2-quartos-vila-marchi-bairros-sao-bernardo-do-campo-com-garagem-65m2-venda-RS250000-id-89138394/
 ,Rua Ângela Franchini| 659 - Centro| São Bernardo do Campo - SP,R$ 480.000,R$ 500, ,3,3,2,93,https://www.vivareal.com.br/imovel/apartamento-3-quartos-centro-bairros-sao-bernardo-do-campo-com-garagem-93m2-venda-RS480000-id-89640703/
Condomínio Auge Home Resort ,Avenida Pereira Barreto| 1201 - Baeta Neves| São Bernardo do Campo - SP,R$ 723.000,R$ 630,R$ 172,3,3,2,106,https://www.vivareal.com.br/imovel/apartamento-3-quartos-baeta-neves-bairros-sao-bernardo-do-campo-com-garagem-106m2-venda-RS723000-id-86862963/
 ,Avenida Paulo Afonso - Nova Petrópolis| São Bernardo do Campo - SP,R$ 640.000,R$ 450,R$ 250,3,3,2,106,https://www.vivareal.com.br/imovel/apartamento-3-quartos-nova-petropolis-bairros-sao-bernardo-do-campo-com-garagem-106m2-venda-RS640000-id-78715933/
Condomínio ANIMA ,Rua Braga| 202 - Vila Lusitania| São Bernardo do Campo - SP,R$ 635.000,R$ 600,R$ 235,3,2,2,107,https://www.vivareal.com.br/imovel/apartamento-3-quartos-vila-lusitania-bairros-sao-bernardo-do-campo-com-garagem-107m2-venda-RS635000-id-86656308/
 ,Avenida Armando Ítalo Setti| 600 - Baeta Neves| São Bernardo do Campo - SP,R$ 620.000,R$ 696, ,3,5,2,116,https://www.vivareal.com.br/imovel/apartamento-3-quartos-baeta-neves-bairros-sao-bernardo-do-campo-com-garagem-116m2-venda-RS620000-id-85665028/
Condomínio Auguri ,Rua Comendador Carlo Mário Gardano| 203 - Centro| São Bernardo do Campo - SP,R$ 302.000,R$ 400,R$ 800,3,2,2,70,https://www.vivareal.com.br/imovel/apartamento-3-quartos-centro-bairros-sao-bernardo-do-campo-com-garagem-70m2-venda-RS302000-id-85696749/
Condomínio PRIME HOUSE CLUB LIFE ,Avenida Moinho Fabrini| 385 - Independência| São Bernardo do Campo - SP,R$ 309.000,R$ 380,R$ 1.300,3,1,1,64,https://www.vivareal.com.br/imovel/apartamento-3-quartos-independencia-bairros-sao-bernardo-do-campo-com-garagem-64m2-venda-RS309000-id-84483677/
Condomínio Condominio Tres Santos ,Avenida Ministro Osvaldo Aranha| 23 - Rudge Ramos| São Bernardo do Campo - SP,R$ 340.000,R$ 310,R$ 887,2,2,1,80,https://www.vivareal.com.br/imovel/apartamento-2-quartos-rudge-ramos-bairros-sao-bernardo-do-campo-com-garagem-80m2-venda-RS340000-id-83751644/
Condomínio Parque Residencial Tiradentes ,Jardim Irajá| São Bernardo do Campo - SP,R$ 206.000,R$ 365,R$ 380,2,1,1,54,https://www.vivareal.com.br/imovel/apartamento-2-quartos-jardim-iraja-bairros-sao-bernardo-do-campo-com-garagem-54m2-venda-RS206000-id-89370514/
Condomínio Anima Clube Parque Condominio ,Rua Braga| 200 - Vila Lusitania| São Bernardo do Campo - SP,R$ 570.000,R$ 597,R$ 208,3,3,2,107,https://www.vivareal.com.br/imovel/apartamento-3-quartos-vila-lusitania-bairros-sao-bernardo-do-campo-com-garagem-107m2-venda-RS570000-id-82697119/
 ,Rua Principal Lauro Gomes| 5901 - Rudge Ramos| São Bernardo do Campo - SP,R$ 349.900,R$ 398, ,3,1,2,69,https://www.vivareal.com.br/imovel/apartamento-3-quartos-rudge-ramos-bairros-sao-bernardo-do-campo-com-garagem-69m2-venda-RS349900-id-88363544/
 ,Rua da Represa - Rudge Ramos| São Bernardo do Campo - SP,R$ 620.000,R$ 680, ,3,3,2,114,https://www.vivareal.com.br/imovel/apartamento-3-quartos-rudge-ramos-bairros-sao-bernardo-do-campo-com-garagem-114m2-venda-RS620000-id-86353354/
Condomínio PRIME HOUSE CLUB LIFE ,Avenida Moinho Fabrini| 385 - Independência| São Bernardo do Campo - SP,R$ 370.000,R$ 410,R$ 85,3,1, ,64,https://www.vivareal.com.br/imovel/apartamento-3-quartos-independencia-bairros-sao-bernardo-do-campo-64m2-venda-RS370000-id-86363444/
Condomínio HELVETIA ,Rua Guilherme Tell| 503 - Taboão| São Bernardo do Campo - SP,R$ 280.000,R$ 540,R$ 600,2,1,1,60,https://www.vivareal.com.br/imovel/apartamento-2-quartos-taboao-bairros-sao-bernardo-do-campo-com-garagem-60m2-venda-RS280000-id-88761115/
Condomínio GREEN PARK ,Rua Luis Ferreira da Silva - Parque Sao Diogo| São Bernardo do Campo - SP,R$ 720.000,R$ 650,R$ 1.200,3,4,2,122,https://www.vivareal.com.br/imovel/apartamento-3-quartos-parque-sao-diogo-bairros-sao-bernardo-do-campo-com-garagem-122m2-venda-RS720000-id-84570370/
Condomínio DOMO LIFE ,Avenida Aldino Pinotti| 500 - Centro| São Bernardo do Campo - SP,R$ 825.000,R$ 710, ,4,5,3,155,https://www.vivareal.com.br/imovel/apartamento-4-quartos-centro-bairros-sao-bernardo-do-campo-com-garagem-155m2-venda-RS825000-id-83209608/
Condomínio DAS FLORES 1 ,Avenida Wallace Simonsen| 1440 - Nova Petrópolis| São Bernardo do Campo - SP,R$ 215.000,R$ 300,R$ 590,2,1,1,47,https://www.vivareal.com.br/imovel/apartamento-2-quartos-nova-petropolis-bairros-sao-bernardo-do-campo-com-garagem-47m2-venda-RS215000-id-88352759/
Condomínio MY PLACE ,Rua Santos Dumont| 95 - Centro| São Bernardo do Campo - SP,R$ 356.000, , ,2,2,2,73,https://www.vivareal.com.br/imovel/apartamento-2-quartos-centro-bairros-sao-bernardo-do-campo-com-garagem-73m2-venda-RS356000-id-86055575/
Condomínio Gabriela ,Centro| São Bernardo do Campo - SP,R$ 425.000,R$ 650,R$ 900,3,3,2,91,https://www.vivareal.com.br/imovel/apartamento-3-quartos-centro-bairros-sao-bernardo-do-campo-com-garagem-91m2-venda-RS425000-id-88850401/
Condomínio DOMO LIFE ,Avenida Aldino Pinotti| 500 - Centro| São Bernardo do Campo - SP,R$ 790.000,R$ 600, ,3,3,2,123,https://www.vivareal.com.br/imovel/apartamento-3-quartos-centro-bairros-sao-bernardo-do-campo-com-garagem-123m2-venda-RS790000-id-89675148/
 ,Rua Cristiano Angeli| 1737 - Assunção| São Bernardo do Campo - SP,R$ 245.000,R$ 280,R$ 55,2,1,1,52,https://www.vivareal.com.br/imovel/apartamento-2-quartos-assuncao-bairros-sao-bernardo-do-campo-com-garagem-52m2-venda-RS245000-id-86035906/
Condomínio Terraces São Bernardo Condominio ,Rua Frei Gaspar| 941 - Centro| São Bernardo do Campo - SP,R$ 320.000, , ,2,2,1,69,https://www.vivareal.com.br/imovel/apartamento-2-quartos-centro-bairros-sao-bernardo-do-campo-com-garagem-69m2-venda-RS320000-id-82161314/
Condomínio Suz Square ,Rua Tomé de Souza| 192 - Centro| São Bernardo do Campo - SP,R$ 937.000,R$ 800,R$ 2.400,3,5,4,133,https://www.vivareal.com.br/imovel/apartamento-3-quartos-centro-bairros-sao-bernardo-do-campo-com-garagem-133m2-venda-RS937000-id-85112116/
Condomínio Spettacolo ,Rua Mario Fongaro| 677 - Vila Marlene| São Bernardo do Campo - SP,R$ 840.000,R$ 695,R$ 120,4,4,2,130,https://www.vivareal.com.br/imovel/apartamento-4-quartos-vila-marlene-bairros-sao-bernardo-do-campo-com-garagem-130m2-venda-RS840000-id-80580914/
Condomínio SMILE ,Avenida Piraporinha| 540 - Planalto| São Bernardo do Campo - SP,R$ 215.000,R$ 417,R$ 897,2,1,1,55,https://www.vivareal.com.br/imovel/apartamento-2-quartos-planalto-bairros-sao-bernardo-do-campo-com-garagem-55m2-venda-RS215000-id-90007801/
 ,Avenida Senador Fláquer - Centro| São Bernardo do Campo - SP,R$ 450.000, , ,3,2,2,90,https://www.vivareal.com.br/imovel/apartamento-3-quartos-centro-bairros-sao-bernardo-do-campo-com-garagem-90m2-venda-RS450000-id-85685415/
Condomínio ANIMA ,Rua Braga - Vila Lusitania| São Bernardo do Campo - SP,R$ 640.000,R$ 650,R$ 250,3,2,2,107,https://www.vivareal.com.br/imovel/apartamento-3-quartos-vila-lusitania-bairros-sao-bernardo-do-campo-com-garagem-107m2-venda-RS640000-id-85717858/
Condomínio Auguri ,Rua Comendador Carlo Mário Gardano - Centro| São Bernardo do Campo - SP,R$ 310.000,R$ 400, ,3,2,1,70,https://www.vivareal.com.br/imovel/apartamento-3-quartos-centro-bairros-sao-bernardo-do-campo-com-garagem-70m2-venda-RS310000-id-89836324/
Condomínio Flam Boyan ,Rua Tietê| 1633 - Rudge Ramos| São Bernardo do Campo - SP,R$ 260.000,R$ 300,R$ 50,3,1,1,56,https://www.vivareal.com.br/imovel/apartamento-3-quartos-rudge-ramos-bairros-sao-bernardo-do-campo-com-garagem-56m2-venda-RS260000-id-83350380/
Condomínio HELBOR MOVEMENT CITY E LIFE ,Avenida Armando Ítalo Setti| 659 - Baeta Neves| São Bernardo do Campo - SP,R$ 469.000,R$ 550, ,3,3,2,93,https://www.vivareal.com.br/imovel/apartamento-3-quartos-baeta-neves-bairros-sao-bernardo-do-campo-com-garagem-93m2-venda-RS469000-id-84364551/
Condomínio LION V ,Vila Jerusalém | São Bernardo do Campo - SP,R$ 230.000,R$ 250,R$ 50,2,1,1,58,https://www.vivareal.com.br/imovel/apartamento-2-quartos-vila-jerusalem-bairros-sao-bernardo-do-campo-com-garagem-58m2-venda-RS230000-id-86323413/
 ,Rua da Represa - Rudge Ramos| São Bernardo do Campo - SP,R$ 530.000,R$ 528,R$ 130,3,2,2,130,https://www.vivareal.com.br/imovel/apartamento-3-quartos-rudge-ramos-bairros-sao-bernardo-do-campo-com-garagem-130m2-venda-RS530000-id-89485428/
Condomínio DOMO HOME ,Avenida Aldino Pinotti| 601 - Centro| São Bernardo do Campo - SP,R$ 785.000,R$ 650, ,3,3,2,123,https://www.vivareal.com.br/imovel/apartamento-3-quartos-centro-bairros-sao-bernardo-do-campo-com-garagem-123m2-venda-RS785000-id-87317815/
Condomínio ANIMA ,Rua Braga| 202 - Vila Lusitania| São Bernardo do Campo - SP,R$ 580.000,R$ 597,R$ 235,3,2,2,107,https://www.vivareal.com.br/imovel/apartamento-3-quartos-vila-lusitania-bairros-sao-bernardo-do-campo-com-garagem-107m2-venda-RS580000-id-89871906/
 ,Rua Brasil - Rudge Ramos| São Bernardo do Campo - SP,R$ 730.000,R$ 1.036,R$ 114,3,4,2,133,https://www.vivareal.com.br/imovel/apartamento-3-quartos-rudge-ramos-bairros-sao-bernardo-do-campo-com-garagem-133m2-venda-RS730000-id-85861410/
Condomínio VALERIA ,Rua Alto Noroeste| 26 - Paulicéia| São Bernardo do Campo - SP,R$ 140.000,R$ 210,R$ 45,1,1,1,38,https://www.vivareal.com.br/imovel/apartamento-1-quartos-pauliceia-bairros-sao-bernardo-do-campo-com-garagem-38m2-venda-RS140000-id-83839775/
 ,Ferrazópolis| São Bernardo do Campo - SP,R$ 195.000,R$ 320, ,2,1,1,56,https://www.vivareal.com.br/imovel/apartamento-2-quartos-ferrazopolis-bairros-sao-bernardo-do-campo-com-garagem-56m2-venda-RS195000-id-89642759/
 ,Rua José Versolato - Centro| São Bernardo do Campo - SP,R$ 710.000, , ,3,2,2,123,https://www.vivareal.com.br/imovel/apartamento-3-quartos-centro-bairros-sao-bernardo-do-campo-com-garagem-123m2-venda-RS710000-id-89748776/
Condomínio ALVES DIAS ,Avenida Humberto de Alencar Castelo Branco| 3451 - Assunção| São Bernardo do Campo - SP,R$ 260.000,R$ 420,R$ 60,2,2,1,58,https://www.vivareal.com.br/imovel/apartamento-2-quartos-assuncao-bairros-sao-bernardo-do-campo-com-garagem-58m2-venda-RS260000-id-87763771/
 ,Rua Tiradentes| 1847 - Santa Terezinha| São Bernardo do Campo - SP,R$ 211.900,R$ 350,R$ 80,2,1,1,53,https://www.vivareal.com.br/imovel/apartamento-2-quartos-santa-terezinha-bairros-sao-bernardo-do-campo-com-garagem-53m2-venda-RS211900-id-86558039/
Condomínio Castelo Roma ,Centro| São Bernardo do Campo - SP,R$ 625.000,R$ 390,R$ 1.100,3,3,2,100,https://www.vivareal.com.br/imovel/apartamento-3-quartos-centro-bairros-sao-bernardo-do-campo-com-garagem-100m2-venda-RS625000-id-89370510/
 ,Rua Engenheiro Isaac Garcêz| 100 - Rudge Ramos| São Bernardo do Campo - SP,R$ 408.000, , ,3,2,1,77,https://www.vivareal.com.br/imovel/apartamento-3-quartos-rudge-ramos-bairros-sao-bernardo-do-campo-com-garagem-77m2-venda-RS408000-id-89880124/
Condomínio COLLECTION SAO BERNARDO ,Avenida Presidente João Café Filho| 1691 - Dos Casa| São Bernardo do Campo - SP,R$ 320.000,R$ 303,R$ 63,2,1,1,48,https://www.vivareal.com.br/imovel/apartamento-2-quartos-dos-casa-bairros-sao-bernardo-do-campo-com-garagem-48m2-venda-RS320000-id-86694586/
